,Temperature,L,R,A_M,Color,Spectral_Class,Type
0,3068,9.1872e+23,118236700.00000001,16.12,Red,M,Red Dwarf
1,3042,1.914e+23,107247642.00000001,16.6,Red,M,Red Dwarf
2,2600,1.1484e+23,70942020.0,18.7,Red,M,Red Dwarf
3,2800,7.656e+22,111281600.0,16.65,Red,M,Red Dwarf
4,1939,5.28264e+22,71637530.0,20.06,Red,M,Red Dwarf
5,2840,2.4882e+23,76506100.0,16.98,Red,M,Red Dwarf
6,2637,2.7944399999999997e+23,88329770.0,17.22,Red,M,Red Dwarf
7,2600,1.5312e+23,66768960.0,17.4,Red,M,Red Dwarf
8,2650,2.6413200000000002e+23,76506100.0,17.45,Red,M,Red Dwarf
9,2700,6.890400000000001e+22,90416300.0,16.05,Red,M,Red Dwarf
10,3600,1.1101199999999999e+24,354710100.0,10.69,Red,M,Brown Dwarf
11,3129,4.6701600000000004e+24,261581311.0,11.79,Red,M,Brown Dwarf
12,3134,1.5312e+23,136319960.0,13.21,Red,M,Brown Dwarf
13,3628,2.1053999999999998e+24,273335430.0,10.48,Red,M,Brown Dwarf
14,2650,2.2968e+23,97371400.00000001,11.782,Red,M,Brown Dwarf
15,3340,1.45464e+24,166922399.99999997,13.07,Red,M,Brown Dwarf
16,2799,6.8904e+23,111281600.0,14.79,Red,M,Brown Dwarf
17,3692,1.404876e+24,326889700.0,10.8,Red,M,Brown Dwarf
18,3192,1.385736e+24,136806817.0,13.53,Red,M,Brown Dwarf
19,3441,1.4929199999999998e+25,244124010.0,11.18,Red,M,Brown Dwarf
20,25000,2.1436800000000002e+25,5842284.0,10.58,Blue-White,B,White Dwarf
21,7740,1.87572e+23,8582593.4,14.02,White,A,White Dwarf
22,7220,6.5076e+22,7650609.999999999,14.23,White,F,White Dwarf
23,8500,1.914e+23,6955100.0,14.5,White,A,White Dwarf
24,16500,4.9764e+24,9737140.0,11.89,Blue-White,B,White Dwarf
25,12990,3.2538e+22,6843818.4,12.23,Yellow-White,F,White Dwarf
26,8570,3.10068e+23,6746447.0,14.2,Blue-White,A,White Dwarf
27,7700,4.2108e+22,8902528.0,14.47,Yellow-White,F,White Dwarf
28,11790,5.742e+22,7650609.999999999,12.59,Yellow-White,F,White Dwarf
29,7230,3.0624e+22,9041630.0,14.08,Yellow-Orange,F,White Dwarf
30,39000,7.8091200000000005e+31,7372405999.999999,-4.7,Blue,O,Main Sequence
31,30000,1.1039952e+31,4381713000.0,-4.2,Blue-White,B,Main Sequence
32,15276,4.3486080000000004e+29,5007672000.0,-1.97,Blue-White,B,Main Sequence
33,9700,2.83272e+28,2010023900.0000002,0.16,White,B,Main Sequence
34,5800,3.10068e+26,625959000.0,5.05,Yellow-White,F,Main Sequence
35,8052,3.3303599999999997e+27,1251918000.0,2.42,White,A,Main Sequence
36,6757,5.47404e+26,778971200.0000001,2.41,Yellow-White,F,Main Sequence
37,6380,5.1678e+26,681599800.0,2.93,Yellow-White,F,Main Sequence
38,5936,5.1945960000000003e+26,769234060.0,4.46,Yellow-White,F,Main Sequence
39,5587,3.135132e+26,688554900.0,5.03,Yellow-White,F,Main Sequence
40,3826,7.6560000000000005e+31,13214689999.999998,-6.93,Red,M,Super Giants
41,3365,1.30152e+32,15996730000.0,-6.2,Red,M,Super Giants
42,3270,5.742e+31,61204880000.0,-6.02,Red,M,Super Giants
43,3200,7.4646e+31,11823670000.0,-7.22,Red,M,Super Giants
44,3008,1.07184e+32,17387750000.0,-6.0,Red,M,Super Giants
45,3600,1.22496e+32,20169790000.0,-6.6,Red,M,Super Giants
46,3575,4.70844e+31,31297949999.999996,-6.78,Red,M,Super Giants
47,3574,7.6560000000000005e+31,61900389999.99999,-5.24,Red,M,Super Giants
48,3625,7.04352e+31,58422840000.0,-6.74,Red,M,Super Giants
49,33750,8.4216e+31,18083260000.0,-6.1,Blue,B,Super Giants
50,3490,1.03356e+32,1057175200000.0,-9.4,Red,M,Hyper Giants
51,3750,1.0833240000000001e+32,876342600000.0,-7.63,Red,M,Hyper Giants
52,3834,1.041216e+32,822788330000.0,-9.2,Red,M,Hyper Giants
53,3749,2.1054000000000002e+32,1146200480000.0,-8.05,Orange,M,Hyper Giants
54,3650,1.18668e+32,920855240000.0,-7.79,Red,M,Hyper Giants
55,3450,1.0067640000000001e+32,938242989999.9999,-11.75,Red,M,Hyper Giants
56,3660,1.389564e+32,1163588230000.0,-11.92,Red,M,Hyper Giants
57,3450,6.66072e+31,893034839999.9999,-11.28,Red,M,Hyper Giants
58,3752,8.0005200000000005e+31,664212050000.0,-11.24,Red,M,Hyper Giants
59,3535,7.4646e+31,1075258460000.0,-11.36,Red,M,Hyper Giants
60,3341,2.14368e+24,39644070.0,16.23,Red,M,Red Dwarf
61,3432,2.5647600000000003e+23,132146900.0,16.94,Red,M,Red Dwarf
62,2983,9.1872e+22,65377940.0,16.09,Red,M,Red Dwarf
63,2835,1.30152e+23,63847818.0,16.96,Red,M,Red Dwarf
64,2935,5.359199999999999e+22,80679160.0,18.89,Red,M,Red Dwarf
65,3295,3.75144e+23,91807320.0,17.13,Red,M,Red Dwarf
66,2945,1.22496e+23,64682430.0,18.34,Red,M,Red Dwarf
67,2817,3.75144e+23,63360960.99999999,16.45,Red,M,Red Dwarf
68,2774,1.3780800000000001e+23,82070180.0,17.39,Red,M,Red Dwarf
69,2871,2.7561600000000003e+23,83461199.99999999,19.43,Red,M,Red Dwarf
70,3345,8.0388e+24,189874230.0,12.3,Red,M,Brown Dwarf
71,3607,8.421599999999999e+24,264293800.0,10.12,Red,M,Brown Dwarf
72,3304,3.2538000000000005e+24,125191799.99999999,13.2,Red,M,Brown Dwarf
73,3150,3.36864e+24,243428499.99999997,11.94,Red,M,Brown Dwarf
74,3550,1.5312e+24,202393410.0,10.89,Red,M,Brown Dwarf
75,3180,3.828e+23,243428499.99999997,11.76,Red,M,Brown Dwarf
76,2890,1.30152e+24,166922399.99999997,13.46,Red,M,Brown Dwarf
77,3342,5.742e+23,213521569.99999997,11.87,Red,M,Brown Dwarf
78,2621,2.2968e+23,68159980.0,12.81,Red,M,Brown Dwarf
79,3158,5.1678e+23,111977109.99999999,13.98,Red,M,Brown Dwarf
80,7100,1.1101200000000002e+23,8346120.0,14.09,Yellow-White,F,White Dwarf
81,10574,5.359199999999999e+22,6398692.0,12.02,White,F,White Dwarf
82,8930,2.1436799999999997e+23,6607344.999999999,13.78,White,A,White Dwarf
83,17200,3.75144e+23,10432649.999999998,12.45,Blue-White,B,White Dwarf
84,14100,2.5647600000000003e+23,6190039.0,12.17,Blue-White,B,White Dwarf
85,9675,1.7226e+23,7581059.0,13.98,Blue-White,A,White Dwarf
86,12010,2.9858400000000003e+23,6398692.0,12.13,Blue-White,B,White Dwarf
87,10980,2.83272e+23,6050936.999999999,11.19,Blue-White,B,White Dwarf
88,13720,6.890400000000001e+22,6203949.2,12.97,White,F,White Dwarf
89,19860,4.2108e+23,9111181.0,11.34,Blue,B,White Dwarf
90,5300,2.25852e+26,632914100.0,5.49,Yellow-White,F,Main Sequence
91,4526,5.85684e+25,601616150.0,6.506,Yellow,K,Main Sequence
92,4077,3.2538e+25,552930450.0,6.228,Yellow,K,Main Sequence
93,4980,1.366596e+26,785926300.0,4.78,Yellow,K,Main Sequence
94,9030,1.7226e+28,1829191299.9999998,1.45,Blue-White,A,Main Sequence
95,11250,2.5724159999999998e+29,4854659800.0,-2.3,Blue-White,A,Main Sequence
96,5112,2.41164e+26,609266760.0,4.68,Orange-Red,K,Main Sequence
97,7720,3.031776e+27,931983400.0,2.44,Yellow-White,F,Main Sequence
98,12098,2.6374919999999998e+29,4875525099.999999,0.02,Blue-White,A,Main Sequence
99,36108,7.5794400000000005e+31,7094202000.0,-4.4,Blue,O,Main Sequence
100,33300,9.1872e+31,8346119999.999999,-6.5,Blue,B,Super Giants
101,40000,3.1121640000000003e+32,9737140000.0,-6.23,Blue,O,Super Giants
102,23000,4.86156e+31,25038360000.0,-5.76,Blue,O,Super Giants
103,17120,8.9958e+31,57727329999.99999,-6.89,Blue,O,Super Giants
104,11096,4.28736e+31,8346119999.999999,-5.91,Blue,O,Super Giants
105,14245,8.84268e+31,29211420000.0,-6.12,Blue,O,Super Giants
106,24630,1.389564e+32,43817130000.0,-5.83,Blue,O,Super Giants
107,12893,7.04352e+31,25038360000.0,-6.34,Blue,O,Super Giants
108,24345,5.43576e+31,39644070000.0,-6.24,Blue,O,Super Giants
109,33421,1.347456e+32,46599170000.0,-5.79,Blue,O,Super Giants
110,3459,3.8280000000000002e+31,896512390000.0,-10.7,Red,M,Hyper Giants
111,3605,4.82328e+31,781753240000.0,-10.81,Red,M,Hyper Giants
112,3615,7.6560000000000005e+31,1137158850000.0,-11.33,Red,M,Hyper Giants
113,3399,4.47876e+31,1033527860000.0,-10.92,Red,M,Hyper Giants
114,3610,5.05296e+31,1058566219999.9999,-10.86,Red,M,Hyper Giants
115,3553,5.5506e+31,920855240000.0,-11.03,Red,M,Hyper Giants
116,4015,1.079496e+32,1066912340000.0,-11.39,Red,K,Hyper Giants
117,3625,2.83272e+31,609266760000.0,-10.25,Red,M,Hyper Giants
118,6850,8.76612e+31,1020313170000.0,-10.07,Red,G,Hyper Giants
119,3780,7.6560000000000005e+31,920855240000.0,-10.7,Red,M,Hyper Giants
120,3323,1.64604e+23,63430512.00000001,17.16,Red,M,Red Dwarf
121,3531,3.56004e+23,67881776.0,19.94,Red,M,Red Dwarf
122,3218,2.0671200000000002e+23,76506100.0,20.02,Red,M,Red Dwarf
123,3146,5.742e+22,64821532.00000001,16.92,Red,M,Red Dwarf
124,3511,2.44992e+23,75810590.0,17.12,Red,M,Red Dwarf
125,3225,2.9092800000000004e+23,84156709.99999999,19.63,Red,M,Red Dwarf
126,2935,3.33036e+23,64821532.00000001,16.88,Red,M,Red Dwarf
127,2861,7.273200000000001e+22,62526348.99999999,16.71,Red,M,Red Dwarf
128,2856,3.429888e+23,54388882.00000001,19.56,Red,M,Red Dwarf
129,2731,1.672836e+23,59535655.99999999,18.09,Red,M,Red Dwarf
130,3095,7.273200000000001e+22,342190920.0,10.87,Red,M,Brown Dwarf
131,3607,8.804400000000001e+22,264293800.0,10.34,Red,M,Brown Dwarf
132,3100,3.0624e+24,215608100.0,11.17,Red,M,Brown Dwarf
133,2989,3.33036e+24,236473400.00000003,13.12,Red,M,Brown Dwarf
134,3542,3.4452e+23,431216200.0,14.23,Red,M,Brown Dwarf
135,3243,8.8044e+23,507722300.0,14.75,Red,M,Brown Dwarf
136,3091,3.10068e+24,166922399.99999997,11.43,Red,M,Brown Dwarf
137,3598,4.2108e+23,389485600.00000006,14.26,Red,M,Brown Dwarf
138,3324,1.30152e+24,236473400.00000003,12.23,Red,M,Brown Dwarf
139,3541,4.9764e+23,178050560.0,14.33,Red,M,Brown Dwarf
140,13420,2.25852e+23,6822953.1,13.67,Blue-White,B,White Dwarf
141,21020,5.742e+23,7789712.0,11.52,Blue,B,White Dwarf
142,18290,4.9764e+23,6496063.3999999985,12.78,Blue,B,White Dwarf
143,14520,3.13896e+23,6760357.2,11.92,Blue-White,B,White Dwarf
144,11900,2.5647600000000003e+23,6245679.8,11.38,Blue-White,B,White Dwarf
145,8924,1.0718399999999999e+23,6113532.899999999,14.87,Blue-White,A,White Dwarf
146,12912,2.7178799999999998e+23,6572569.5,12.83,Blue-White,B,White Dwarf
147,14732,4.2108e+22,6203949.2,12.89,White,F,White Dwarf
148,7723,5.359199999999999e+22,6106577.8,14.81,White,A,White Dwarf
149,12984,3.36864e+23,6927279.6,11.23,Blue-White,B,White Dwarf
150,29560,7.19664e+31,4186970199.9999995,-4.01,Blue-White,B,Main Sequence
151,8945,1.45464e+28,1729733370.0,0.12,Blue-White,A,Main Sequence
152,14060,4.180176e+29,3995704949.9999995,-2.04,Blue-White,A,Main Sequence
153,16390,4.892184000000001e+29,3950496800.0,-3.32,Blue-White,B,Main Sequence
154,25070,5.5506e+30,4117419200.0,-3.98,Blue-White,B,Main Sequence
155,28700,6.427212e+30,4451264000.0,-4.09,Blue-White,B,Main Sequence
156,26140,5.558256e+30,3818349900.0,-3.8,Blue-White,B,Main Sequence
157,20120,1.806816e+30,4715557800.0,-3.4,Blue-White,B,Main Sequence
158,13023,3.8203440000000004e+29,4319117100.0,-1.38,Blue-White,A,Main Sequence
159,37800,7.767012e+31,4771198600.0,-4.56,Blue,O,Main Sequence
160,25390,8.53644e+31,39644070000.0,-5.92,Blue,O,Super Giants
161,11567,9.60828e+31,25038360000.0,-6.245,Blue,O,Super Giants
162,12675,1.730256e+32,57727329999.99999,-5.62,Blue,O,Super Giants
163,5752,9.3786e+31,67464469999.99999,-6.63,Blue,O,Super Giants
164,8927,9.14892e+31,24342850000.0,-7.34,Blue,O,Super Giants
165,7282,5.01468e+31,16692239999.999998,-7.22,Blue,O,Super Giants
166,19923,5.81856e+31,50772229999.99999,-5.69,Blue,O,Super Giants
167,26373,7.5794400000000005e+31,27124890000.0,-5.83,Blue,O,Super Giants
168,17383,1.3126212e+32,20865300000.0,-6.09,Blue,O,Super Giants
169,9373,1.62506256e+32,16692239999.999998,-5.99,Blue,O,Super Giants
170,3570,1.22496e+32,1029354799999.9999,-7.58,Red,M,Hyper Giants
171,3500,5.28264e+31,987624200000.0,-8.18,Red,M,Hyper Giants
172,4287,2.4116400000000003e+32,914595650000.0,-9.2,Orange,K,Hyper Giants
173,26000,1.209648e+32,1167761290000.0,-9.1,Blue,B,Hyper Giants
174,3600,9.1872e+31,827656900000.0,-7.89,Red,M,Hyper Giants
175,3614,5.5506e+31,1080127030000.0,-7.71,Red,M,Hyper Giants
176,18000,7.6560000000000005e+31,726807950000.0,-8.3,Blue,O,Hyper Giants
177,11000,6.5076e+31,1237312290000.0,-9.9,Blue-White,B,Hyper Giants
178,12100,4.5936e+31,493047038999.99994,-7.84,Blue-White,B,Hyper Giants
179,24490,9.5121972e+31,789056095000.0,-8.24,Blue-White,B,Hyper Giants
180,2831,8.84268e+22,63639165.0,16.21,Red,M,Red Dwarf
181,2914,2.4154680000000003e+23,80679160.0,18.39,Red,M,Red Dwarf
182,3419,9.3786e+22,87634260.0,17.56,Red,M,Red Dwarf
183,3218,1.730256e+23,68646837.0,17.34,Red,M,Red Dwarf
184,3453,2.3771880000000002e+23,53762922.99999999,17.08,Red,M,Red Dwarf
185,2889,1.347456e+23,67673123.0,16.93,Red,M,Red Dwarf
186,2968,1.764708e+23,82765689.99999999,17.45,Red,M,Red Dwarf
187,3484,2.109228e+23,69411898.0,16.67,Red,M,Red Dwarf
188,2778,3.249972e+23,77897120.0,19.45,Red,M,Red Dwarf
189,3523,3.663396e+23,89720790.0,16.35,Red,M,Red Dwarf
190,3462,2.0288399999999998e+24,102935479.99999999,11.47,Red,M,Brown Dwarf
191,3257,9.1872e+23,319934600.0,10.73,Red,M,Brown Dwarf
192,2994,2.75616e+24,194742800.00000003,13.45,Red,M,Brown Dwarf
193,3212,6.1248e+23,262902779.99999997,12.854,Red,M,Brown Dwarf
194,3523,2.06712e+24,221867690.00000003,12.43,Red,M,Brown Dwarf
195,3598,1.03356e+24,465991700.0,13.667,Red,M,Brown Dwarf
196,3142,5.05296e+23,179441580.0,14.12,Red,M,Brown Dwarf
197,3496,4.785e+23,233691360.0,14.94,Red,M,Brown Dwarf
198,3324,2.4882e+24,327585210.0,12.78,Red,M,Brown Dwarf
199,3463,1.03356e+24,469469250.00000006,14.776,Red,M,Brown Dwarf
200,16790,5.3592e+23,8415671.0,12.87,Blue,B,White Dwarf
201,15680,4.67016e+23,7928814.000000001,11.92,Blue,B,White Dwarf
202,14982,4.51704e+23,7859263.0,12.23,Blue,B,White Dwarf
203,13340,4.17252e+23,8067915.999999998,12.9,Blue,B,White Dwarf
204,18340,5.129520000000001e+23,8624324.0,11.22,Blue,B,White Dwarf
205,19920,5.9716800000000005e+23,9876242.0,11.34,Blue,B,White Dwarf
206,24020,6.08652e+23,8832976.999999998,10.55,Blue,B,White Dwarf
207,23092,5.05296e+23,7233304.0,10.18,Blue,B,White Dwarf
208,17920,4.249080000000001e+23,7372405.999999999,11.66,Blue,B,White Dwarf
209,19360,4.785e+23,6941189.8,11.62,Blue,B,White Dwarf
210,22350,4.76586e+30,4423443600.0,-3.67,Blue-White,B,Main Sequence
211,10012,2.113056e+29,4072906560.0,0.013,Blue-White,A,Main Sequence
212,13089,3.0164640000000002e+29,4167495919.9999995,-0.12,Blue-White,A,Main Sequence
213,22012,2.5831344e+30,4618186400.0,-2.55,Blue-White,B,Main Sequence
214,34190,7.587096e+31,4444308899.999999,-4.57,Blue,O,Main Sequence
215,32460,6.6530640000000005e+31,4337895870.0,-4.36,Blue,O,Main Sequence
216,9320,1.1101200000000001e+28,1328424100.0,1.236,Blue-White,A,Main Sequence
217,19400,4.180176e+30,4193925300.0,-3.08,Blue-White,B,Main Sequence
218,17140,3.380124e+29,3931718029.9999995,-2.64,Blue-White,B,Main Sequence
219,8250,3.5409e+27,1342334300.0,-0.98,Yellow-White,F,Main Sequence
220,23678,9.351421200000001e+31,24342850000.0,-6.27,Blue,O,Super Giants
221,12749,1.2728865600000002e+32,52858759999.99999,-7.02,Blue,O,Super Giants
222,9383,1.3127743199999999e+32,68159979999.99999,-6.98,Blue,O,Super Giants
223,23440,2.0572820399999997e+32,56336310000.0,-5.975,Blue,O,Super Giants
224,16787,9.4448244e+31,43121620000.0,-6.35,Blue,O,Super Giants
225,18734,8.6045784e+31,31993460000.0,-7.45,Blue,O,Super Giants
226,9892,2.2734492e+32,55640800000.0,-7.262,Blue,O,Super Giants
227,10930,3.0008840400000003e+32,17387750000.0,-6.224,Blue,O,Super Giants
228,23095,1.33145496e+32,59813860000.0,-5.905,Blue,O,Super Giants
229,21738,2.8667509200000002e+32,63986920000.0,-7.346,Blue,O,Super Giants
230,24145,1.466097204e+32,1039091939999.9999,-8.84,Blue-White,B,Hyper Giants
231,38234,1.04439324e+32,943111559999.9999,-9.29,Blue,O,Hyper Giants
232,32489,2.48219004e+32,1355201235000.0,-10.84,Blue,O,Hyper Giants
233,27739,3.25157976e+32,870778520000.0,-7.59,Blue-White,B,Hyper Giants
234,21904,2.86521972e+32,785926300000.0,-7.67,Blue-White,B,Hyper Giants
235,38940,1.43484924e+32,943111559999.9999,-9.93,Blue,O,Hyper Giants
236,30839,3.192712776e+32,830438940000.0,-10.63,Blue,O,Hyper Giants
237,8829,2.057523204e+32,989710730000.0,-10.73,White,A,Hyper Giants
238,9235,1.55011032e+32,773407120000.0,-11.23,White,A,Hyper Giants
239,37882,1.1288886839999999e+32,1240094330000.0,-7.8,Blue,O,Hyper Giants
